Width (mm),Weight (g),Temperature (Â°C),Defective
10.17,246.7,29.6,0
10.28,255.0,26.5,0
10.8,249.1,27.4,0
10.74,246.2,28.4,0
10.49,252.7,31.0,1
10.55,245.5,32.7,1
11.01,250.1,28.9,1
10.26,250.0,27.7,0
10.72,255.4,28.8,1
10.42,252.4,29.3,0
10.41,249.9,27.5,0
10.94,254.1,30.7,1
10.83,257.0,28.3,1
10.83,252.8,28.7,0
11.02,250.1,29.0,1
10.51,243.4,28.6,1
10.77,244.7,29.3,1
10.38,248.5,27.1,0
10.63,247.0,27.2,0
10.45,249.1,26.3,0
10.54,250.3,28.7,0
10.74,252.6,29.2,0
10.17,249.6,28.7,0
11.34,252.4,30.5,1
10.1,250.3,28.0,0
10.01,240.1,29.0,1
10.96,245.3,26.4,0
10.82,249.3,27.4,0
10.75,244.0,29.0,1
10.75,253.0,29.3,0
10.5,257.7,27.6,1
10.14,256.1,27.9,1
10.53,248.9,25.7,1
10.23,257.5,27.5,1
10.89,250.7,29.3,0
10.44,248.3,28.9,0
10.17,246.9,28.8,0
10.37,248.5,28.1,0
10.67,248.1,28.0,0
10.27,250.9,27.0,0
10.17,250.8,29.0,0
10.6,250.0,28.6,0
10.6,252.2,28.7,0
10.3,256.0,27.2,1
10.31,254.7,24.8,1
10.59,242.6,29.6,1
9.92,237.2,27.3,1
9.94,254.7,26.7,1
10.21,243.2,29.0,1
10.41,248.9,27.4,0
10.62,244.1,29.6,1
11.09,241.0,28.9,1
10.84,252.7,29.0,0
10.44,253.8,26.0,1
10.49,247.1,29.8,0
10.1,237.0,28.4,1
10.49,247.3,27.4,0
10.38,252.0,28.2,0
10.63,242.6,25.3,1
10.17,250.9,28.6,0
10.71,249.9,26.5,0
11.11,252.9,26.0,1
10.46,250.6,25.7,1
10.66,245.1,29.7,0
10.78,256.0,27.1,1
10.34,249.2,30.3,1
10.59,249.9,27.2,0
10.51,245.3,25.4,1
10.54,247.8,26.3,0
10.19,245.6,29.9,0
10.51,249.1,27.8,0
10.7,258.6,27.2,1
11.08,243.1,28.2,1
10.88,241.9,28.8,1
11.36,257.4,29.7,1
10.19,249.0,30.2,1
10.85,246.7,27.5,0
10.57,255.2,26.0,1
11.38,247.0,27.4,1
10.18,259.1,28.4,1
10.16,253.4,26.6,0
10.26,247.6,26.6,0
9.65,260.8,28.5,1
10.29,247.0,27.9,0
10.2,253.7,28.0,0
10.56,251.5,26.9,0
10.64,256.5,27.7,1
11.25,257.8,26.6,1
10.88,250.2,29.3,0
10.27,246.2,29.6,0
10.14,252.3,25.2,1
10.7,246.6,26.6,0
9.97,260.1,25.8,1
11.23,250.7,27.0,1
10.97,248.2,27.9,0
10.31,250.9,25.8,1
9.81,243.3,26.6,1
11.04,245.1,26.5,1
10.45,256.0,28.3,1
11.0,246.7,28.1,0
9.86,244.8,26.9,1
10.26,252.7,28.3,0
10.5,255.9,27.2,1
10.52,253.6,27.6,0
10.32,255.0,30.5,1
10.75,246.2,30.0,1
10.07,242.9,26.1,1
10.44,257.5,29.2,1
10.55,248.4,29.2,0
10.71,248.7,26.3,0
10.78,256.6,29.2,1
10.05,252.8,30.3,1
9.89,252.3,26.3,1
11.01,260.8,26.6,1
10.63,246.8,29.5,0
10.2,254.6,28.4,0
11.12,250.3,28.8,1
10.55,251.3,28.5,0
10.97,257.6,28.6,1
10.53,252.5,26.0,0
11.32,252.7,29.6,1
11.2,255.4,29.8,1
10.4,248.2,27.7,0
10.89,245.8,27.9,0
10.76,244.8,25.7,1
11.05,240.2,28.8,1
10.11,260.3,28.9,1
10.77,244.5,27.9,1
10.92,248.9,29.7,0
9.8,248.6,27.5,1
10.03,251.5,28.8,0
9.68,254.1,26.5,1
10.39,254.3,28.0,0
10.79,247.1,27.7,0
11.1,249.2,28.3,1
10.53,251.4,27.4,0
11.15,248.8,27.8,1
9.95,258.0,29.2,1
9.82,252.5,27.3,1
10.48,253.7,25.6,1
10.65,253.3,30.6,1
10.49,255.9,30.1,1
9.67,250.9,26.1,1
10.46,243.5,29.0,1
9.98,252.0,27.2,1
10.77,246.7,28.4,0
10.65,247.4,28.4,0
10.12,252.9,27.6,0
10.29,256.2,26.8,1
10.08,250.1,27.0,0
10.47,251.5,26.6,0
10.88,258.5,26.8,1
10.11,251.2,27.9,0
10.7,263.0,26.9,1
10.29,252.8,29.0,0
10.18,241.2,30.2,1
10.46,253.8,27.1,0
10.09,251.9,28.4,0
10.28,256.4,28.7,1
10.02,253.4,28.7,0
11.29,249.3,28.1,1
10.51,243.9,29.1,1
10.22,249.0,28.7,0
10.59,245.7,26.1,0
10.46,247.1,29.3,0
10.41,252.9,29.3,0
10.75,258.3,26.9,1
10.8,252.0,28.1,0
10.29,244.0,29.0,1
10.27,252.2,27.7,0
10.39,256.0,29.6,1
9.58,247.0,31.5,1
9.89,249.3,26.8,1
11.05,250.1,25.9,1
11.16,246.1,28.5,1
10.4,253.2,29.1,0
10.73,249.4,27.7,0
10.62,252.1,30.2,1
11.73,245.6,26.0,1
10.95,247.8,29.0,0
10.45,253.6,27.1,0
10.12,248.1,30.6,1
9.86,258.6,31.0,1
10.58,248.0,26.9,0
10.2,251.1,27.2,0
9.93,254.7,29.3,1
10.24,242.9,27.4,1
10.07,241.2,27.9,1
11.17,242.4,28.0,1
10.85,256.3,25.1,1
10.5,247.2,28.0,0
11.09,262.8,27.0,1
10.53,247.2,27.3,0
10.16,250.9,30.2,1
11.11,257.7,26.1,1
10.72,260.0,29.2,1
10.09,260.3,27.6,1
10.42,256.0,27.6,1
10.15,255.1,29.2,1
9.95,253.0,28.5,1
10.87,253.9,28.9,0
11.26,247.2,29.5,1
9.94,245.9,27.5,1
10.73,250.0,27.1,0
10.24,249.1,26.4,0
10.31,247.7,26.8,0
10.26,253.5,32.4,1
10.15,254.8,29.9,0
10.52,250.4,26.0,1
10.17,257.4,26.0,1
10.61,244.3,28.7,1
10.48,249.0,28.8,0
10.4,246.4,28.8,0
10.14,240.7,27.6,1
10.27,249.6,27.8,0
10.8,249.4,28.5,0
10.7,257.6,28.1,1
10.11,253.2,24.7,1
10.54,244.9,27.7,1
10.8,259.3,26.7,1
9.83,256.1,28.3,1
10.72,252.9,32.5,1
10.23,248.9,28.6,0
10.73,245.2,27.5,0
10.19,248.1,29.4,0
9.78,255.4,28.7,1
9.85,259.4,28.6,1
10.52,257.7,28.9,1
10.6,247.6,31.1,1
10.14,244.4,26.3,1
10.76,250.7,28.7,0
9.84,241.2,26.6,1
10.47,251.6,28.8,0
10.02,249.3,26.6,0
10.24,247.7,27.4,0
10.52,242.0,27.6,1
10.16,252.6,29.5,0
10.35,247.3,29.4,0
10.9,244.2,26.1,1
10.27,235.6,28.1,1
10.83,249.9,26.9,0
10.05,258.9,26.1,1
10.71,258.3,27.7,1
11.08,247.7,27.5,1
9.51,247.0,31.6,1
10.18,252.3,28.6,0
10.73,245.0,25.9,1
10.42,251.5,27.2,0
10.65,253.8,29.5,0
10.26,256.1,31.1,1
10.53,249.5,25.6,1
10.44,249.0,25.2,1
10.97,245.6,30.8,1
10.6,245.9,28.6,0
10.64,248.9,26.7,0
10.34,251.8,28.8,0
10.3,254.6,24.0,1
10.33,246.0,28.0,0
10.66,257.5,28.5,1
10.33,248.6,29.4,0
10.62,249.9,26.5,0
11.33,246.3,28.1,1
10.85,237.9,26.6,1
10.37,254.4,28.4,0
10.98,253.7,26.7,0
10.34,248.6,27.4,0
9.68,250.3,26.5,1
10.1,252.6,29.0,0
9.75,242.2,29.3,1
10.36,247.4,27.6,0
10.51,254.0,28.1,0
11.17,243.7,25.8,1
10.63,251.5,27.6,0
10.41,243.2,27.9,1
10.83,252.3,31.9,1
9.62,249.8,26.3,1
10.59,241.9,30.2,1
10.81,255.8,29.5,1
9.91,246.3,28.4,1
10.96,245.9,30.6,1
10.64,251.0,28.6,0
10.33,255.7,28.6,1
10.75,244.9,27.9,1
11.41,250.3,29.8,1
10.57,252.1,29.6,0
10.6,253.5,27.1,0
10.32,250.9,26.0,0
10.16,248.2,27.7,0
10.83,245.9,26.8,0
10.16,250.4,27.9,0
10.53,244.6,29.9,1
10.31,235.4,27.3,1
10.69,252.2,27.9,0
10.63,254.5,28.1,0
10.92,238.2,29.3,1
10.3,245.0,24.6,1
10.39,253.1,27.1,0
10.11,260.3,28.3,1
10.32,250.1,29.8,0
10.65,246.4,27.3,0
10.8,249.1,25.2,1
10.13,256.9,28.9,1
10.85,246.8,27.0,0
11.04,246.0,26.2,1
10.67,247.6,27.1,0
11.25,245.2,27.7,1
10.19,250.6,27.1,0
10.0,258.1,24.7,1
9.79,251.6,29.3,1
11.1,248.7,29.9,1
10.76,248.5,29.0,0
10.48,242.2,26.3,1
10.61,254.4,27.7,0
10.05,249.6,28.0,0
11.48,249.1,28.9,1
10.55,266.0,29.0,1
10.54,251.5,26.9,0
10.79,246.2,28.1,0
10.69,247.9,28.7,0
10.59,255.7,30.2,1
10.18,250.6,29.1,0
10.69,242.8,29.2,1
11.25,254.6,28.1,1
11.04,246.7,30.1,1
11.14,259.4,28.6,1
10.3,255.4,26.7,1
10.1,247.8,30.1,1
10.45,256.4,29.0,1
10.52,250.3,27.3,0
10.94,254.3,27.3,0
9.82,252.4,28.4,1
11.11,245.8,28.7,1
10.44,246.8,28.3,0
10.33,255.1,28.5,1
10.1,248.3,30.5,1
9.84,248.0,29.6,1
10.83,245.2,28.3,0
10.53,252.1,29.4,0
9.98,260.3,26.5,1
9.98,244.7,28.6,1
10.37,250.1,30.7,1
11.17,257.1,27.7,1
10.4,249.6,26.7,0
9.9,252.3,27.0,1
10.4,244.7,26.4,1
10.39,252.1,26.8,0
9.42,249.1,27.4,1
10.48,254.9,25.9,1
10.41,255.9,28.0,1
10.78,262.9,29.4,1
11.24,252.9,26.6,1
10.95,251.6,30.3,1
10.39,251.0,28.8,0
10.06,248.2,29.5,0
11.53,251.7,27.0,1
10.52,248.5,29.3,0
10.51,250.8,26.4,0
10.49,256.6,29.3,1
10.58,245.0,28.3,1
10.44,255.7,28.8,1
10.27,256.6,26.2,1
10.28,249.4,26.7,0
10.49,239.4,28.9,1
10.28,247.0,26.6,0
10.21,256.5,28.7,1
10.54,249.9,25.9,1
10.4,245.0,29.3,0
11.1,247.5,26.2,1
9.44,254.2,28.8,1
10.94,252.7,28.9,0
11.0,248.8,27.0,0
9.67,248.2,28.9,1
10.36,248.0,28.4,0
10.35,245.4,27.2,0
9.94,258.1,26.5,1
10.19,248.4,25.1,1
10.06,256.1,28.5,1
11.2,257.6,25.7,1
10.87,255.0,28.1,0
11.01,247.8,27.6,1
10.79,252.0,29.0,0
10.05,249.9,27.5,0
10.29,245.5,27.5,0
10.7,251.6,29.1,0
10.01,244.1,28.5,1
10.79,255.9,28.5,1
10.4,247.7,28.7,0
10.35,251.0,25.7,1
10.78,251.4,29.1,0
10.68,248.7,28.9,0
10.36,252.9,26.5,0
10.96,247.6,27.6,0
10.07,254.4,27.9,0
10.75,243.3,27.8,1
10.74,250.6,28.5,0
10.38,259.7,30.1,1
10.63,245.0,29.6,1
10.0,246.6,26.0,1
10.87,252.6,28.9,0
10.43,250.9,30.0,0
10.29,251.8,28.6,0
10.92,252.4,29.6,0
10.22,253.2,31.0,1
9.94,255.5,29.5,1
9.88,252.0,28.4,1
10.74,248.8,29.6,0
9.99,253.4,28.2,1
11.2,259.5,28.0,1
9.67,249.3,27.5,1
11.18,245.1,30.3,1
10.58,255.5,26.8,1
10.46,249.4,30.3,1
10.28,239.1,28.7,1
10.66,254.2,25.9,1
10.48,247.3,28.6,0
10.94,249.5,24.8,1
10.55,251.7,28.9,0
10.56,251.0,29.3,0
10.35,253.5,27.1,0
10.48,247.8,28.2,0
10.62,252.6,30.9,1
9.82,248.7,27.2,1
9.96,253.7,26.4,1
10.8,253.1,30.2,1
10.57,245.3,30.9,1
10.43,255.4,28.0,1
10.51,247.3,29.5,0
10.64,254.0,30.0,1
10.28,251.8,26.9,0
10.19,259.2,27.3,1
10.58,248.9,29.8,0
10.11,248.3,30.5,1
10.66,249.9,28.8,0
9.82,248.5,26.7,1
10.91,254.0,31.0,1
10.69,241.9,27.2,1
10.6,244.7,27.5,1
10.89,244.7,28.5,1
11.17,254.8,30.3,1
10.91,258.6,29.3,1
9.76,249.5,28.6,1
9.99,249.2,28.7,1
10.25,250.4,28.1,0
10.51,255.8,28.8,1
10.71,245.4,24.2,1
10.21,251.2,27.6,0
10.57,254.9,28.4,0
10.2,252.5,26.3,0
10.26,250.9,28.6,0
9.94,255.0,27.7,1
10.13,236.5,30.6,1
9.96,253.4,30.4,1
10.11,246.7,27.3,0
10.92,240.8,27.8,1
10.12,252.6,27.9,0
11.55,256.9,27.3,1
10.7,249.3,28.3,0
10.57,254.8,26.9,0
10.16,258.1,26.3,1
10.78,256.6,28.9,1
10.27,258.2,28.9,1
10.55,253.7,26.8,0
11.52,250.4,29.3,1
10.46,242.0,27.1,1
10.96,248.8,28.4,0
10.22,245.8,29.2,0
10.49,260.9,27.9,1
11.21,249.1,28.7,1
10.25,250.6,27.2,0
11.22,252.8,27.7,1
10.78,250.2,27.7,0
10.28,258.5,26.9,1
10.75,246.9,27.7,0
10.89,251.0,25.7,1
10.75,246.3,27.3,0
9.87,243.4,27.6,1
10.21,246.9,27.6,0
10.4,249.8,27.6,0
10.47,247.9,27.9,0
10.75,246.5,28.7,0
10.57,243.0,29.3,1
9.97,249.6,27.0,1
10.65,242.5,26.2,1
10.74,253.8,26.4,0
10.72,250.4,27.3,0
10.93,242.7,27.5,1
10.83,248.5,26.8,0
10.68,246.2,26.1,0
10.47,251.6,27.3,0
9.84,256.7,28.3,1
10.67,240.6,28.9,1
10.58,250.6,27.2,0
10.61,249.2,27.4,0
9.99,253.4,26.6,1
10.07,251.1,28.0,0
10.92,246.2,26.7,0
10.48,248.4,28.9,0
10.77,246.0,25.3,1
10.51,255.4,27.5,1
